SEXO,RAZA,CARACTER,NOMBRE,PROTECTORA,LINK,AÑOS,FOTO
hembra,común europeo,tranquila,Maskra,1,https://elrefugio.org/ficha/maskra,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Maskraweb.jpg
macho,común europeo,cariñoso,Peach,1,https://elrefugio.org/ficha/peach,6,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Peachweb.jpg
hembra,común europeo,cariñosa,Kinya,1,https://elrefugio.org/ficha/kinya,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Kinyaweb_1.jpg
hembra,común europeo,asustadiza,Bentú,1,https://elrefugio.org/ficha/bentu,7,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Bentuweb.jpg
hembra,común europeo,independiente,Sachet,1,https://elrefugio.org/ficha/sachet,8,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Sachetweb.jpg
hembra,común europeo,tímida,Zía,1,https://elrefugio.org/ficha/zia,3,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Ziaweb.jpg
macho,común europeo,tímido,Kalimba,1,https://elrefugio.org/ficha/kalimba,7,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Kalimbaweb_1.jpg
hembra,común europeo,tranquila,Otis,1,https://elrefugio.org/ficha/otis,13,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Otisweb.jpg
macho,común europeo,simpático,Cross,1,https://elrefugio.org/ficha/cross,7,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Crossweb_1.jpg
hembra,común europeo,cariñosa y juguetona,Dana,1,https://elrefugio.org/ficha/dana,2,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-danaweb_1.jpg
macho,común europeo,cariñoso,Malkovich,1,https://elrefugio.org/ficha/malkovich,3,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Malkovichweb.jpg
hembra,común europeo,independiente,Rory,1,https://elrefugio.org/ficha/rori,13,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Roriweb.jpg
macho,común europeo,tranquilo,Bell,1,https://elrefugio.org/ficha/bell,8,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Belcebuweb.jpg
macho,común europeo,activo y juguetón,Jibbles,1,https://elrefugio.org/ficha/jibbles,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Jibblesweb.jpg
hembra,común europeo,cariñosa,Bruji,1,https://elrefugio.org/ficha/bruji,11,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Brujiweb.jpg
macho,común europeo,activo y juguetón,Changrot,1,https://elrefugio.org/ficha/changrot,0,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Changrotweb.jpg
macho,común europeo,cariñosa y tímida,Val y beth,1,https://elrefugio.org/ficha/val,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-ValyBethweb.jpg
macho,comun,cariñoso,Alfred,1,https://elrefugio.org/ficha/alfred,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Alfredweb.jpg
macho,común europeo,muy sociable,Vitolo,1,https://elrefugio.org/ficha/vitolo,4,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Vitoloweb.jpg
hembra,común europeo,independiente,Vita,1,https://elrefugio.org/ficha/vita,11,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Vitaweb_1.jpg
hembra,común europeo,timido,Cachito,1,https://elrefugio.org/ficha/cachito,14,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Cachitoweb.jpg
macho,común europeo,cariñosos y tranquilos,Lucky y look,1,https://elrefugio.org/ficha/lucky-y-look,2,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-LuckyyLookweb.jpg
macho,común europeo,cariñoso,Chester,1,https://elrefugio.org/ficha/chester,5,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Chesterweb.jpg
hembra,común europeo,cariñosa,Milky,1,https://elrefugio.org/ficha/milky,0,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Milkyweb.jpg
macho,comun,cariñoso,Monn,1,https://elrefugio.org/ficha/monn,1,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Monnweb.jpg
hembra,común europeo,activa,Pitah,1,https://elrefugio.org/ficha/pitah,2,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-PitahPompitaweb.jpg
macho,común europeo,cariñoso,Jacobo,1,https://elrefugio.org/ficha/jacobo,7,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Jacoboweb.jpg
macho,comun,cariñoso,Tutti,1,https://elrefugio.org/ficha/tutti,2,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Tuttiweb.jpg
macho,común europeo,mimoso,Eneko,1,https://elrefugio.org/ficha/eneko,10,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Enecoweb.jpg
hembra,común europeo,juguetona,Troya,1,https://elrefugio.org/ficha/troya,0,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Troyaweb.jpg
hembra,común europeo,juguetona,Mica,1,https://elrefugio.org/ficha/mica,0,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Micaweb.jpg
macho,común europeo,cariñoso,Níscalo,1,https://elrefugio.org/ficha/niscalo,2,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Niscaloweb.jpg
macho,común europeo,tímido,Chékere,1,https://elrefugio.org/ficha/chekere,7,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Chekereweb_1.jpg
hembra,común europeo,tímida,Zarza,1,https://elrefugio.org/ficha/zarza,12,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Zarzaweb.jpg
